ID,log_pSat_Pa,MW,NumOfAtoms,NumOfC,NumOfO,NumOfN,NumHBondDonors,NumOfConfUsed,parentspecies,C=C (non-aromatic),C=C-C=O in non-aromatic ring,hydroxyl (alkyl),aldehyde,ketone,carboxylic acid,ester,ether (alicyclic),nitrate,nitro,aromatic hydroxyl,carbonylperoxynitrate,peroxide,hydroperoxide,carbonylperoxyacid,nitroester,NumOfConf_transformed
0,-11.295069938037932,224.016831836,23,6,9,0,4,40.0,toluene,0,0,1,1,0,1,0,1,0,0,0,0,0,2,0,0,17.57077078433366
1,-4.782500050903438,310.064844648,35,9,10,2,1,40.0,apin,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,13.5655615237508
2,-6.204318857356484,368.0339384439999,37,10,13,2,1,40.0,apin,0,0,0,1,2,0,0,0,1,0,0,1,0,1,0,0,14.948190811377817
3,-9.672590605664208,299.012474728,29,7,12,1,4,3.0,toluene,0,0,2,0,2,0,0,0,1,0,0,0,0,1,1,0,20.61690291058617
4,-4.25205804854546,202.011352532,20,7,7,0,1,32.0,toluene,0,0,0,2,2,0,0,1,0,0,0,0,0,1,0,0,8.802505717482076
5,-9.843755992712442,238.0324819,26,7,9,0,3,40.0,,0,0,1,1,1,0,0,0,0,0,0,0,1,2,0,0,17.545288566229512
6,1.9363006747893612,241.965858884,18,3,11,2,1,17.0,toluene,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,6.737229618413736
7,-10.47629398239974,303.007389348,29,6,13,1,5,29.0,toluene,0,0,2,0,0,0,0,0,1,0,0,0,1,3,0,0,13.607739444246764
8,-5.617627328325295,284.996824664,26,6,12,1,3,40.0,toluene,0,0,1,1,0,0,0,1,0,0,0,1,0,2,0,0,17.596178950253236
9,-6.581878058673298,310.97608921999995,26,7,13,1,2,40.0,toluene,0,0,0,1,1,0,2,0,1,0,0,0,0,1,1,0,16.087809957415864
10,-2.0008684577747573,343.96116742799995,27,6,15,2,1,16.0,toluene,0,0,0,0,2,0,0,0,1,0,0,1,1,0,1,0,5.151770440758
11,-4.2675494033653605,281.00191004400006,26,7,11,1,2,40.0,toluene,0,0,0,2,1,0,0,1,1,0,0,0,0,2,0,0,13.01571408528685
12,-5.364189280733981,284.049194584,31,7,10,2,2,40.0,apin,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,17.968754303179143
13,-3.724268069895566,263.10050188400004,35,10,7,1,1,40.0,decane,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,12.782866901887711
14,-5.367014032641997,223.032816248,24,6,8,1,2,37.0,toluene,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,8.414947345752466
15,-8.616909856314653,267.022645488,27,7,10,1,4,24.0,toluene,0,0,4,1,1,0,0,1,1,0,0,0,0,0,0,0,16.964817525029503
16,-5.937403710680225,253.006995424,24,6,10,1,2,40.0,toluene,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,17.77200545144983
17,-6.998658332196843,218.006267152,21,7,8,0,2,4.0,toluene,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,4.684342242949148
18,-12.680356203309609,242.02739652,26,6,10,0,4,40.0,toluene,0,0,1,0,1,0,1,0,0,0,0,0,0,3,0,0,22.416143883825576
19,-3.4031948862591483,208.021917216,22,6,8,0,3,10.0,toluene,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,12.367518075654008
20,-4.622676024284643,294.98117460000003,25,7,12,1,1,40.0,toluene,0,0,0,2,2,0,0,0,1,0,0,0,1,0,1,0,11.025705237389294
21,-1.019185026640618,331.9611674279999,26,5,15,2,1,40.0,toluene,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,13.084046008906398
22,-10.748442321205548,254.02739652,27,7,10,0,5,4.0,toluene,0,0,4,1,0,0,0,0,0,0,0,0,1,0,1,0,14.28926764769726
23,-3.0158785984304024,302.02337376,30,6,12,2,2,40.0,apin,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,15.825728659645675
25,-9.97450040333372,296.99682466400003,27,7,12,1,4,22.0,toluene,0,0,2,2,0,0,0,1,0,1,0,0,0,1,1,0,14.877754016372203
26,-6.723718219552844,283.01756010800005,28,7,11,1,2,40.0,toluene,0,0,0,2,0,1,0,0,1,0,0,0,1,1,0,0,18.361362396545587
27,-10.064061929367965,280.079432092,35,10,9,0,3,40.0,apin,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,21.605578789098175
30,-5.227866585383396,313.986988252,27,6,13,2,2,26.0,toluene,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,10.400929283100192
31,-2.651263099111254,329.9819028719999,28,6,14,2,2,40.0,toluene,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,15.052645413558942
32,-8.723078514883229,309.06959568,36,10,10,1,2,4.0,apin,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,15.554786459827671
34,-8.542027489626495,338.05975926799994,37,10,11,2,1,40.0,decane,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,16.238109414006466
35,-4.5395942205951725,238.99134536,21,5,10,1,3,12.0,toluene,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,12.342255929460492
36,-5.803239020528384,291.059030996,33,10,9,1,1,40.0,apin,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,14.82449597841557
37,-2.07421904231369,265.006995424,25,7,10,1,1,28.0,toluene,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,6.589164624224784
38,-8.076270566093484,283.017560108,28,7,11,1,3,15.0,toluene,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,10.931339299597314
39,-9.476401983083912,226.0324819,25,6,9,0,4,17.0,toluene,0,0,2,1,0,0,1,0,0,0,0,0,0,2,0,0,17.621513581981468
40,-5.9814815434299575,150.016437912,16,4,6,0,3,1.0,toluene,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,7.711110525383441
41,-8.910813223756437,225.996096392,21,5,10,0,4,8.0,toluene,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,14.698754004083048
42,-7.4451569635596435,178.01135253200002,18,5,7,0,3,25.0,toluene,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,13.3942822223533
43,-3.6695379929630274,357.97681749199995,30,7,15,2,2,40.0,toluene,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,13.996470171792097
44,-12.692631504050084,343.9975529359999,31,7,14,2,4,1.0,toluene,0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,0,10.504119057709149
45,-5.12857622493347,265.006995424,25,7,10,1,2,4.0,,0,0,2,1,2,0,0,0,0,0,0,1,0,0,0,0,14.60763871996582
46,-12.939266271014946,283.017560108,28,7,11,1,4,33.0,toluene,0,0,2,1,0,1,0,1,1,0,0,0,0,1,0,0,17.919974483029165
47,-1.2630245495801535,220.980780676,18,5,9,1,1,14.0,toluene,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,5.564857809925044
48,-3.9049821293628857,277.07976644,34,10,8,1,1,40.0,apin,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,11.760037674501149
49,-7.318978242721422,298.97608922,25,6,13,1,3,26.0,toluene,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,11.842612744845479
50,-8.01687490353119,299.048860236,33,8,11,1,3,22.0,apin,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,19.783265950027612
51,-0.1706223972040412,324.044109204,34,9,11,2,1,40.0,apin,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,13.916360986842122
52,-8.408721395488106,239.027730868,25,6,9,1,3,40.0,apin,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,18.936639234445167
53,-3.25966874717706,186.016437912,19,7,6,0,1,38.0,toluene,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,8.156327642512549
54,-4.260878053031618,192.027002596,21,6,7,0,3,17.0,toluene,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,10.295854926896952
55,-5.25461552074431,253.006995424,24,6,10,1,2,40.0,toluene,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0,0,13.732790852309678
56,-9.793432319760182,287.01247472800003,28,6,12,1,4,40.0,toluene,0,0,0,0,0,1,0,1,1,0,0,0,0,3,0,0,19.142140682546277
57,-13.999001361597726,328.00263831599995,30,7,13,2,4,1.0,toluene,0,0,3,1,0,1,0,0,1,1,0,0,1,0,0,0,16.88252248806226
59,-7.273013240271418,279.095416504,36,10,8,1,2,40.0,decane,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,16.7014160196074
60,-11.11108207069603,252.01174645600005,25,7,10,0,5,2.0,toluene,0,0,3,0,1,1,0,0,0,0,0,0,1,1,0,0,8.209164022072711
61,-5.847496931553265,324.080494712,38,10,10,2,1,40.0,decane,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,15.087150422256661
62,-4.214320145288433,327.966252808,26,6,14,2,2,40.0,toluene,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,14.13456909316828
63,-6.886822171291882,180.027002596,20,5,7,0,3,22.0,toluene,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,15.48966734735017
64,-7.9356132632202705,287.012474728,28,6,12,1,4,23.0,toluene,0,0,1,0,0,0,0,1,1,0,0,0,0,2,1,0,17.01924086298528
65,-7.237412637660096,356.033938444,36,9,13,2,2,40.0,apin,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,18.349712955338006
66,-10.302423806385312,238.068867408,30,8,8,0,4,16.0,apin,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,21.76288846404324
67,-2.1416006503539955,267.981508948,22,5,11,2,1,40.0,toluene,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,9.458540586294278
68,-5.139582507707815,278.98625998000006,24,7,11,1,1,40.0,toluene,0,0,0,3,1,1,0,0,1,0,0,0,1,0,0,0,14.91305363969501
69,-6.052198883806005,266.98625998,23,6,11,1,3,18.0,toluene,0,0,2,1,0,1,2,0,1,0,0,0,0,0,0,0,12.876965785088256
70,-1.7027230782734,220.980780676,18,5,9,1,1,20.0,toluene,0,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0,7.152865155760011
72,-10.231143153514465,285.03321017200005,30,7,11,1,4,19.0,toluene,0,0,2,0,0,0,0,0,1,0,0,0,1,2,0,0,8.414947345752466
73,-2.932182921227846,262.99134536,23,7,10,1,1,38.0,toluene,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,8.209164022072711
74,-6.373475999847948,251.027730868,26,7,9,1,3,40.0,toluene,0,0,2,2,1,0,0,0,0,1,0,0,0,1,0,0,15.240543441627663
75,-4.488421632636215,255.022645488,26,6,10,1,3,16.0,toluene,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,13.712100821175879
76,-4.062072205390661,250.99134536,22,6,10,1,2,40.0,toluene,0,0,0,0,2,1,0,1,1,0,0,0,0,1,0,0,10.53811077946129
77,-7.803881155767717,266.98625998000006,23,6,11,1,2,40.0,toluene,0,0,0,2,0,2,0,0,1,0,0,0,1,0,0,0,15.683438440467327
78,-1.7809669273838435,269.00191004400006,25,6,11,1,2,40.0,toluene,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,12.56620689657453
79,-6.089924680392454,247.069201756,30,9,7,1,1,40.0,apin,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,8.414947345752466
80,-2.990200861658323,200.104858992,30,10,4,0,1,40.0,decane,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,10.504119057709149
81,-4.541881952662227,205.022251564,21,6,7,1,2,14.0,toluene,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,6.809356505129504
82,-7.354265369218554,166.01135253200002,17,4,7,0,4,6.0,toluene,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,9.540163101303436
83,-7.223980373614542,220.021917216,23,7,8,0,3,1.0,toluene,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,10.079704542932054
84,-5.302254532636455,263.02773086800005,27,8,9,1,1,40.0,decane,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,12.21446248149558
85,-0.4753978059397652,281.997159012,25,6,11,2,1,10.0,toluene,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,6.024363271072136
87,-11.546960334215782,175.995702468,16,5,7,0,2,5.0,toluene,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,5.040659046947564
90,-5.373373253575747,188.032087976,21,7,6,0,1,3.0,toluene,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,3.989691928391903
91,-4.563768253395797,311.971338188,25,6,13,2,2,40.0,toluene,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,12.110391132321165
92,-6.330310940675741,310.97608922,26,7,13,1,2,40.0,toluene,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,14.13456909316828
93,-8.339183544528263,315.00738934799995,30,7,13,1,4,9.0,toluene,0,0,1,1,0,0,0,1,1,0,0,0,0,2,1,0,16.71548662921856
94,-3.455285446707816,312.991739284,28,7,13,1,2,14.0,toluene,0,0,0,1,1,0,0,0,0,0,0,1,1,2,0,0,12.541694206003058
