"log_pSat_Pa","MW","NumOfAtoms","NumOfC","NumOfO","NumOfN","NumHBondDonors","NumOfConf","NumOfConfUsed","C.C..non.aromatic.","C.C.C.O.in.non.aromatic.ring","hydroxyl..alkyl.","aldehyde","ketone","carboxylic.acid","ester","ether..alicyclic.","nitrate","nitro","aromatic.hydroxyl","carbonylperoxynitrate","peroxide","hydroperoxide","carbonylperoxyacid","nitroester","toluene","apin","decane"
-11.2950699380379,224.016831836,23,6,9,0,4,485,40,0,0,1,1,0,1,0,1,0,0,0,0,0,2,0,0,1,0,0
-4.78250005090344,310.064844648,35,9,10,2,1,236,40,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0
-6.20431885735648,368.033938444,37,10,13,2,1,308,40,0,0,0,1,2,0,0,0,1,0,0,1,0,1,0,0,0,1,0
-9.67259060566421,299.012474728,29,7,12,1,4,769,3,0,0,2,0,2,0,0,0,1,0,0,0,0,1,1,0,1,0,0
-4.25205804854546,202.011352532,20,7,7,0,1,77,32,0,0,0,2,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1.93630067478936,241.965858884,18,3,11,2,1,41,17,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
-10.4762939823997,303.007389348,29,6,13,1,5,238,29,0,0,2,0,0,0,0,0,1,0,0,0,1,3,0,0,1,0,0
-5.61762732832529,284.996824664,26,6,12,1,3,487,40,0,0,1,1,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0
-6.5818780586733,310.97608922,26,7,13,1,2,378,40,0,0,0,1,1,0,2,0,1,0,0,0,0,1,1,0,1,0,0
-2.00086845777476,343.961167428,27,6,15,2,1,23,16,0,0,0,0,2,0,0,0,1,0,0,1,1,0,1,0,1,0,0
-4.26754940336536,281.001910044,26,7,11,1,2,211,40,0,0,0,2,1,0,0,1,1,0,0,0,0,2,0,0,1,0,0
-5.36418928073398,284.049194584,31,7,10,2,2,517,40,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0
-3.72426806989557,263.100501884,35,10,7,1,1,201,40,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1
-5.367014032642,223.032816248,24,6,8,1,2,69,37,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
-8.61690985631465,267.022645488,27,7,10,1,4,439,24,0,0,4,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
-5.93740371068022,253.006995424,24,6,10,1,2,501,40,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0
-6.99865833219684,218.006267152,21,7,8,0,2,19,4,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0
-12.6803562033096,242.02739652,26,6,10,0,4,983,40,0,0,1,0,1,0,1,0,0,0,0,0,0,3,0,0,1,0,0
-3.40319488625915,208.021917216,22,6,8,0,3,184,10,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0
-4.62267602428464,294.9811746,25,7,12,1,1,136,40,0,0,0,2,2,0,0,0,1,0,0,0,1,0,1,0,1,0,0
-1.01918502664062,331.961167428,26,5,15,2,1,214,40,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0
-10.7484423212055,254.02739652,27,7,10,0,5,272,4,0,0,4,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
-3.0158785984304,302.02337376,30,6,12,2,2,361,40,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0
-9.97450040333372,296.996824664,27,7,12,1,4,304,22,0,0,2,2,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0
-6.72371821955284,283.017560108,28,7,11,1,2,550,40,0,0,0,2,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0
-10.064061929368,280.079432092,35,10,9,0,3,882,40,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0
-5.2278665853834,313.986988252,27,6,13,2,2,117,26,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0
-2.65126309911125,329.981902872,28,6,14,2,2,314,40,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0
-8.72307851488323,309.06959568,36,10,10,1,2,344,4,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0
-8.54202748962649,338.059759268,37,10,11,2,1,388,40,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,1
-4.53959422059517,238.99134536,21,5,10,1,3,183,12,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0
-5.80323902052838,291.059030996,33,10,9,1,1,301,40,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0
-2.07421904231369,265.006995424,25,7,10,1,1,39,28,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
-8.07627056609348,283.017560108,28,7,11,1,3,133,15,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0
-9.47640198308391,226.0324819,25,6,9,0,4,489,17,0,0,2,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0
-5.98148154342996,150.016437912,16,4,6,0,3,56,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
-8.91081322375644,225.996096392,21,5,10,0,4,294,8,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,1,0,0
-7.44515696355964,178.011352532,18,5,7,0,3,228,25,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0
-3.66953799296303,357.976817492,30,7,15,2,2,257,40,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,1,0,0
-12.6926315040501,343.997552936,31,7,14,2,4,120,1,0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0
-12.9392662710149,283.017560108,28,7,11,1,4,513,33,0,0,2,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0
-1.26302454958015,220.980780676,18,5,9,1,1,27,14,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0
-3.90498212936289,277.07976644,34,10,8,1,1,161,40,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
-7.31897824272142,298.97608922,25,6,13,1,3,164,26,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0
-8.01687490353119,299.048860236,33,8,11,1,3,682,22,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0
-0.170622397204041,324.044109204,34,9,11,2,1,253,40,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0
-8.40872139548811,239.027730868,25,6,9,1,3,601,40,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
-3.25966874717706,186.016437912,19,7,6,0,1,64,38,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0
-4.26087805303162,192.027002596,21,6,7,0,3,114,17,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
-5.25461552074431,253.006995424,24,6,10,1,2,244,40,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0
-9.79343231976018,287.012474728,28,6,12,1,4,620,40,0,0,0,0,0,1,0,1,1,0,0,0,0,3,0,0,1,0,0
-13.9990013615977,328.002638316,30,7,13,2,4,433,1,0,0,3,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0
-7.27301324027142,279.095416504,36,10,8,1,2,420,40,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1
-11.111082070696,252.011746456,25,7,10,0,5,65,2,0,0,3,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
-5.84749693155327,324.080494712,38,10,10,2,1,316,40,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,1
-4.21432014528843,327.966252808,26,6,14,2,2,264,40,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0
-6.88682217129188,180.027002596,20,5,7,0,3,340,22,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
-7.93561326322027,287.012474728,28,6,12,1,4,443,23,0,0,1,0,0,0,0,1,1,0,0,0,0,2,1,0,1,0,0
-7.2374126376601,356.033938444,36,9,13,2,2,549,40,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0
-10.3024238063853,238.068867408,30,8,8,0,4,901,16,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
-2.141600650354,267.981508948,22,5,11,2,1,92,40,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0
-5.13958250770782,278.98625998,24,7,11,1,1,306,40,0,0,0,3,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
-6.05219888380601,266.98625998,23,6,11,1,3,205,18,0,0,2,1,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0
-1.7027230782734,220.980780676,18,5,9,1,1,47,20,0,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0
-10.2311431535145,285.033210172,30,7,11,1,4,69,19,0,0,2,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0
-2.93218292122785,262.99134536,23,7,10,1,1,65,38,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
-6.37347599984795,251.027730868,26,7,9,1,3,325,40,0,0,2,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
-4.48842163263622,255.022645488,26,6,10,1,3,243,16,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
-4.06207220539066,250.99134536,22,6,10,1,2,121,40,0,0,0,0,2,1,0,1,1,0,0,0,0,1,0,0,1,0,0
-7.80388115576772,266.98625998,23,6,11,1,2,352,40,0,0,0,2,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0
-1.78096692738384,269.001910044,25,6,11,1,2,192,40,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0
-6.08992468039245,247.069201756,30,9,7,1,1,69,40,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
-2.99020086165832,200.104858992,30,10,4,0,1,120,40,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-4.54188195266223,205.022251564,21,6,7,1,2,42,14,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0
-7.35426536921855,166.011352532,17,4,7,0,4,94,6,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
-7.22398037361454,220.021917216,23,7,8,0,3,108,1,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
-5.30225453263646,263.027730868,27,8,9,1,1,178,40,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1
-0.475397805939765,281.997159012,25,6,11,2,1,32,10,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
-11.5469603342158,175.995702468,16,5,7,0,2,22,5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
-5.37337325357575,188.032087976,21,7,6,0,1,14,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0
-4.5637682533958,311.971338188,25,6,13,2,2,174,40,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0
-6.33031094067574,310.97608922,26,7,13,1,2,264,40,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0
-8.33918354452826,315.007389348,30,7,13,1,4,421,9,0,0,1,1,0,0,0,1,1,0,0,0,0,2,1,0,1,0,0
-3.45528544670782,312.991739284,28,7,13,1,2,191,14,0,0,0,1,1,0,0,0,0,0,0,1,1,2,0,0,1,0,0
-5.22036111835464,344.033938444,35,8,13,2,2,444,40,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,1,0
-7.09851276533325,278.98625998,24,7,11,1,2,87,40,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0
-2.51057309785652,296.049194584,32,8,10,2,1,96,40,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
-9.60837187731178,269.001910044,25,6,11,1,5,99,26,1,0,3,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0
-3.93792558639828,281.001910044,26,7,11,1,1,118,39,0,0,1,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0
-6.61338707853776,293.038295552,31,9,10,1,1,344,40,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.35399677815657,191.0066015,18,5,7,1,1,8,8,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
-7.74374654153443,265.07976644,33,9,8,1,2,403,40,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
-4.01241875427554,310.97608922,26,7,13,1,1,78,31,0,0,0,0,3,0,0,0,0,0,0,1,1,0,1,0,1,0,0
-8.71588280410761,252.011746456,25,7,10,0,4,214,5,0,0,2,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0
-4.69433636896144,313.986988252,27,6,13,2,2,209,40,0,0,0,0,2,0,0,0,1,1,0,0,1,2,0,0,1,0,0
-6.55666969690614,278.98625998,24,7,11,1,2,107,10,1,0,0,2,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0
-8.62657730927888,328.002638316,30,7,13,2,3,66,5,0,0,2,1,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0
-7.73078566526732,310.97608922,26,7,13,1,3,281,8,0,0,1,1,0,1,2,0,1,0,0,0,0,0,1,0,1,0,0
-7.14851355472904,249.08485182,32,9,7,1,2,85,17,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
-3.17640498852259,248.975695296,20,6,10,1,1,55,40,0,0,0,0,3,0,1,0,1,0,0,0,0,1,0,0,1,0,0
-7.8934332618433,328.002638316,30,7,13,2,3,160,8,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0
-9.66225215770066,206.04265266,24,7,7,0,3,29,6,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
-5.17324271228805,206.006267152,20,6,8,0,3,166,14,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
2.96762194435242,160.996036816,14,4,6,1,0,4,4,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
-4.57005854011474,253.043380932,28,7,9,1,3,589,10,0,0,2,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0
-1.24620349251163,234.99643074,21,6,9,1,1,38,36,0,0,1,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0
-4.23671868171684,194.006267152,19,5,8,0,3,336,27,0,0,1,2,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0
-1.48304339058158,252.970609916,20,5,11,1,1,17,7,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0
-2.39276808260558,282.9811746,24,6,12,1,2,204,40,0,0,1,1,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0
-6.64542126755091,299.012474728,29,7,12,1,3,344,40,0,0,1,1,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0
-0.336062292438929,240.970609916,19,4,11,1,2,110,32,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0
-6.39300500561734,312.007723696,29,7,12,2,2,407,40,0,0,1,0,1,1,1,0,2,0,0,0,0,0,0,0,1,0,0
-2.6466622898057,217.022251564,22,7,7,1,2,17,6,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0
-2.1838035962646,341.981902872,29,7,14,2,1,48,23,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0
-3.16017759152976,280.054279964,31,8,9,2,1,152,40,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0
-8.05838033614468,257.001910044,24,5,11,1,4,564,11,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0
-1.85755960298102,174.089208928,26,8,4,0,1,33,24,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
-7.78089822828249,328.002638316,30,7,13,2,4,810,31,0,0,2,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0
-6.40204433116504,361.971732112,30,6,16,2,3,469,40,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0
-6.42236323475277,343.997552936,31,7,14,2,4,410,27,0,0,3,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
-3.84999662162563,226.99134536,20,4,10,1,2,216,40,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0
-2.29750597329496,312.007723696,29,7,12,2,1,131,40,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
-11.3401264694707,234.073952788,30,9,7,0,3,430,14,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1
-2.34541183442246,218.006267152,21,7,8,0,2,1,1,0,0,2,1,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0
-3.55991370748701,292.090665472,36,10,8,2,1,59,31,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0
-1.74142113806759,361.971732112,30,6,16,2,2,302,40,0,0,1,0,1,0,0,0,0,0,0,2,1,1,0,0,1,0,0
-7.16119591227926,186.016437912,19,7,6,0,2,35,22,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
-5.79393383138609,249.012080804,24,7,9,1,2,42,16,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0
-11.7038239515402,309.06959568,36,10,10,1,3,931,40,0,0,1,0,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0
-6.84793023695356,236.016831836,24,7,9,0,3,348,32,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0
-12.9865310313662,315.007389348,30,7,13,1,4,750,7,0,0,2,2,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0
-6.30639566394833,279.095416504,36,10,8,1,2,482,40,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1
-1.16864227534699,271.976423568,22,4,12,2,1,80,32,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0
-3.20271477904096,190.011352532,19,6,7,0,2,107,33,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0
-6.92767670229179,251.027730868,26,7,9,1,3,179,20,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
-4.65794490990864,253.043380932,28,7,9,1,2,160,10,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1
0.571803824200876,220.980780676,18,5,9,1,1,21,12,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0
-7.09745891754888,370.049588508,39,10,13,2,2,635,40,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
